leaves,x0,x1,x2,bottom_permutation,top_permutation,permutation,orbits
21,2,7,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 21),(0 20)(1 17)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 19)(18 21),"[[20, 17, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [19, 21, 18, 15]]",8
23,2,8,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 23),(0 22)(1 19)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 21)(20 23),"[[22, 19, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [21, 23, 20, 17]]",9
9,3,0,0,(0 2)(1 4)(3 6)(5 8)(7 9),(0 8)(1 3)(2 5)(4 7)(6 9),"[[8, 5, 2, 0], [3, 6, 9, 7, 4, 1]]",2
11,3,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 5)(2 4)(3 7)(6 9)(8 11),"[[10, 7, 3, 6, 9, 11, 8, 5, 1, 4, 2, 0]]",1
13,3,2,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 7)(2 4)(3 6)(5 9)(8 11)(10 13),"[[12, 9, 5, 8, 11, 13, 10, 7, 1, 4, 2, 0], [6, 3]]",2
15,3,3,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 9)(2 4)(3 6)(5 8)(7 11)(10 13)(12 15),"[[14, 11, 7, 10, 13, 15, 12, 9, 1, 4, 2, 0], [6, 3], [8, 5]]",3
17,3,4,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 11)(2 4)(3 6)(5 8)(7 10)(9 13)(12 15)(14 17),"[[16, 13, 9, 12, 15, 17, 14, 11, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7]]",4
19,3,5,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 19),(0 18)(1 13)(2 4)(3 6)(5 8)(7 10)(9 12)(11 15)(14 17)(16 19),"[[18, 15, 11, 14, 17, 19, 16, 13, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9]]",5
21,3,6,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 21),(0 20)(1 15)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 17)(16 19)(18 21),"[[20, 17, 13, 16, 19, 21, 18, 15, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11]]",6
23,3,7,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 23),(0 22)(1 17)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 19)(18 21)(20 23),"[[22, 19, 15, 18, 21, 23, 20, 17, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13]]",7
25,3,8,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 25),(0 24)(1 19)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 21)(20 23)(22 25),"[[24, 21, 17, 20, 23, 25, 22, 19, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15]]",8
11,4,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 3)(2 5)(4 7)(6 9)(8 11),"[[10, 7, 4, 1, 3, 6, 9, 11, 8, 5, 2, 0]]",1
13,4,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 5)(2 4)(3 7)(6 9)(8 11)(10 13),"[[12, 9, 6, 3, 7, 10, 13, 11, 8, 5, 1, 4, 2, 0]]",1
15,4,2,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 7)(2 4)(3 6)(5 9)(8 11)(10 13)(12 15),"[[14, 11, 8, 5, 9, 12, 15, 13, 10, 7, 1, 4, 2, 0], [6, 3]]",2
17,4,3,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 9)(2 4)(3 6)(5 8)(7 11)(10 13)(12 15)(14 17),"[[16, 13, 10, 7, 11, 14, 17, 15, 12, 9, 1, 4, 2, 0], [6, 3], [8, 5]]",3
19,4,4,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 19),(0 18)(1 11)(2 4)(3 6)(5 8)(7 10)(9 13)(12 15)(14 17)(16 19),"[[18, 15, 12, 9, 13, 16, 19, 17, 14, 11, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7]]",4
21,4,5,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 21),(0 20)(1 13)(2 4)(3 6)(5 8)(7 10)(9 12)(11 15)(14 17)(16 19)(18 21),"[[20, 17, 14, 11, 15, 18, 21, 19, 16, 13, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9]]",5
23,4,6,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 23),(0 22)(1 15)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 17)(16 19)(18 21)(20 23),"[[22, 19, 16, 13, 17, 20, 23, 21, 18, 15, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11]]",6
25,4,7,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 25),(0 24)(1 17)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 19)(18 21)(20 23)(22 25),"[[24, 21, 18, 15, 19, 22, 25, 23, 20, 17, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13]]",7
27,4,8,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 27),(0 26)(1 19)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 21)(20 23)(22 25)(24 27),"[[26, 23, 20, 17, 21, 24, 27, 25, 22, 19, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15]]",8
13,5,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 3)(2 5)(4 7)(6 9)(8 11)(10 13),"[[12, 9, 6, 3, 1, 4, 7, 10, 13, 11, 8, 5, 2, 0]]",1
15,5,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 5)(2 4)(3 7)(6 9)(8 11)(10 13)(12 15),"[[14, 11, 8, 5, 1, 4, 2, 0], [7, 10, 13, 15, 12, 9, 6, 3]]",2
17,5,2,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 7)(2 4)(3 6)(5 9)(8 11)(10 13)(12 15)(14 17),"[[16, 13, 10, 7, 1, 4, 2, 0], [6, 3], [9, 12, 15, 17, 14, 11, 8, 5]]",3
19,5,3,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 19),(0 18)(1 9)(2 4)(3 6)(5 8)(7 11)(10 13)(12 15)(14 17)(16 19),"[[18, 15, 12, 9, 1, 4, 2, 0], [6, 3], [8, 5], [11, 14, 17, 19, 16, 13, 10, 7]]",4
21,5,4,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 21),(0 20)(1 11)(2 4)(3 6)(5 8)(7 10)(9 13)(12 15)(14 17)(16 19)(18 21),"[[20, 17, 14, 11, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [13, 16, 19, 21, 18, 15, 12, 9]]",5
23,5,5,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 23),(0 22)(1 13)(2 4)(3 6)(5 8)(7 10)(9 12)(11 15)(14 17)(16 19)(18 21)(20 23),"[[22, 19, 16, 13, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [15, 18, 21, 23, 20, 17, 14, 11]]",6
25,5,6,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 25),(0 24)(1 15)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 17)(16 19)(18 21)(20 23)(22 25),"[[24, 21, 18, 15, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [17, 20, 23, 25, 22, 19, 16, 13]]",7
27,5,7,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 27),(0 26)(1 17)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 19)(18 21)(20 23)(22 25)(24 27),"[[26, 23, 20, 17, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [19, 22, 25, 27, 24, 21, 18, 15]]",8
29,5,8,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 29),(0 28)(1 19)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 21)(20 23)(22 25)(24 27)(26 29),"[[28, 25, 22, 19, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [21, 24, 27, 29, 26, 23, 20, 17]]",9
15,6,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 3)(2 5)(4 7)(6 9)(8 11)(10 13)(12 15),"[[14, 11, 8, 5, 2, 0], [3, 6, 9, 12, 15, 13, 10, 7, 4, 1]]",2
17,6,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 5)(2 4)(3 7)(6 9)(8 11)(10 13)(12 15)(14 17),"[[16, 13, 10, 7, 3, 6, 9, 12, 15, 17, 14, 11, 8, 5, 1, 4, 2, 0]]",1
19,6,2,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 19),(0 18)(1 7)(2 4)(3 6)(5 9)(8 11)(10 13)(12 15)(14 17)(16 19),"[[18, 15, 12, 9, 5, 8, 11, 14, 17, 19, 16, 13, 10, 7, 1, 4, 2, 0], [6, 3]]",2
21,6,3,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 21),(0 20)(1 9)(2 4)(3 6)(5 8)(7 11)(10 13)(12 15)(14 17)(16 19)(18 21),"[[20, 17, 14, 11, 7, 10, 13, 16, 19, 21, 18, 15, 12, 9, 1, 4, 2, 0], [6, 3], [8, 5]]",3
23,6,4,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 23),(0 22)(1 11)(2 4)(3 6)(5 8)(7 10)(9 13)(12 15)(14 17)(16 19)(18 21)(20 23),"[[22, 19, 16, 13, 9, 12, 15, 18, 21, 23, 20, 17, 14, 11, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7]]",4
25,6,5,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 25),(0 24)(1 13)(2 4)(3 6)(5 8)(7 10)(9 12)(11 15)(14 17)(16 19)(18 21)(20 23)(22 25),"[[24, 21, 18, 15, 11, 14, 17, 20, 23, 25, 22, 19, 16, 13, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9]]",5
27,6,6,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 27),(0 26)(1 15)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 17)(16 19)(18 21)(20 23)(22 25)(24 27),"[[26, 23, 20, 17, 13, 16, 19, 22, 25, 27, 24, 21, 18, 15, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11]]",6
29,6,7,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 29),(0 28)(1 17)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 19)(18 21)(20 23)(22 25)(24 27)(26 29),"[[28, 25, 22, 19, 15, 18, 21, 24, 27, 29, 26, 23, 20, 17, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13]]",7
31,6,8,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 31),(0 30)(1 19)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 21)(20 23)(22 25)(24 27)(26 29)(28 31),"[[30, 27, 24, 21, 17, 20, 23, 26, 29, 31, 28, 25, 22, 19, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15]]",8
17,7,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 3)(2 5)(4 7)(6 9)(8 11)(10 13)(12 15)(14 17),"[[16, 13, 10, 7, 4, 1, 3, 6, 9, 12, 15, 17, 14, 11, 8, 5, 2, 0]]",1
19,7,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 19),(0 18)(1 5)(2 4)(3 7)(6 9)(8 11)(10 13)(12 15)(14 17)(16 19),"[[18, 15, 12, 9, 6, 3, 7, 10, 13, 16, 19, 17, 14, 11, 8, 5, 1, 4, 2, 0]]",1
21,7,2,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 21),(0 20)(1 7)(2 4)(3 6)(5 9)(8 11)(10 13)(12 15)(14 17)(16 19)(18 21),"[[20, 17, 14, 11, 8, 5, 9, 12, 15, 18, 21, 19, 16, 13, 10, 7, 1, 4, 2, 0], [6, 3]]",2
23,7,3,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 23),(0 22)(1 9)(2 4)(3 6)(5 8)(7 11)(10 13)(12 15)(14 17)(16 19)(18 21)(20 23),"[[22, 19, 16, 13, 10, 7, 11, 14, 17, 20, 23, 21, 18, 15, 12, 9, 1, 4, 2, 0], [6, 3], [8, 5]]",3
25,7,4,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 25),(0 24)(1 11)(2 4)(3 6)(5 8)(7 10)(9 13)(12 15)(14 17)(16 19)(18 21)(20 23)(22 25),"[[24, 21, 18, 15, 12, 9, 13, 16, 19, 22, 25, 23, 20, 17, 14, 11, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7]]",4
27,7,5,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 27),(0 26)(1 13)(2 4)(3 6)(5 8)(7 10)(9 12)(11 15)(14 17)(16 19)(18 21)(20 23)(22 25)(24 27),"[[26, 23, 20, 17, 14, 11, 15, 18, 21, 24, 27, 25, 22, 19, 16, 13, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9]]",5
29,7,6,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 29),(0 28)(1 15)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 17)(16 19)(18 21)(20 23)(22 25)(24 27)(26 29),"[[28, 25, 22, 19, 16, 13, 17, 20, 23, 26, 29, 27, 24, 21, 18, 15, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11]]",6
31,7,7,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 31),(0 30)(1 17)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 19)(18 21)(20 23)(22 25)(24 27)(26 29)(28 31),"[[30, 27, 24, 21, 18, 15, 19, 22, 25, 28, 31, 29, 26, 23, 20, 17, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13]]",7
33,7,8,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 33),(0 32)(1 19)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 21)(20 23)(22 25)(24 27)(26 29)(28 31)(30 33),"[[32, 29, 26, 23, 20, 17, 21, 24, 27, 30, 33, 31, 28, 25, 22, 19, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15]]",8
19,8,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 19),(0 18)(1 3)(2 5)(4 7)(6 9)(8 11)(10 13)(12 15)(14 17)(16 19),"[[18, 15, 12, 9, 6, 3, 1, 4, 7, 10, 13, 16, 19, 17, 14, 11, 8, 5, 2, 0]]",1
21,8,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 21),(0 20)(1 5)(2 4)(3 7)(6 9)(8 11)(10 13)(12 15)(14 17)(16 19)(18 21),"[[20, 17, 14, 11, 8, 5, 1, 4, 2, 0], [7, 10, 13, 16, 19, 21, 18, 15, 12, 9, 6, 3]]",2
23,8,2,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 23),(0 22)(1 7)(2 4)(3 6)(5 9)(8 11)(10 13)(12 15)(14 17)(16 19)(18 21)(20 23),"[[22, 19, 16, 13, 10, 7, 1, 4, 2, 0], [6, 3], [9, 12, 15, 18, 21, 23, 20, 17, 14, 11, 8, 5]]",3
25,8,3,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 25),(0 24)(1 9)(2 4)(3 6)(5 8)(7 11)(10 13)(12 15)(14 17)(16 19)(18 21)(20 23)(22 25),"[[24, 21, 18, 15, 12, 9, 1, 4, 2, 0], [6, 3], [8, 5], [11, 14, 17, 20, 23, 25, 22, 19, 16, 13, 10, 7]]",4
27,8,4,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 27),(0 26)(1 11)(2 4)(3 6)(5 8)(7 10)(9 13)(12 15)(14 17)(16 19)(18 21)(20 23)(22 25)(24 27),"[[26, 23, 20, 17, 14, 11, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [13, 16, 19, 22, 25, 27, 24, 21, 18, 15, 12, 9]]",5
29,8,5,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 29),(0 28)(1 13)(2 4)(3 6)(5 8)(7 10)(9 12)(11 15)(14 17)(16 19)(18 21)(20 23)(22 25)(24 27)(26 29),"[[28, 25, 22, 19, 16, 13, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [15, 18, 21, 24, 27, 29, 26, 23, 20, 17, 14, 11]]",6
31,8,6,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 31),(0 30)(1 15)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 17)(16 19)(18 21)(20 23)(22 25)(24 27)(26 29)(28 31),"[[30, 27, 24, 21, 18, 15, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [17, 20, 23, 26, 29, 31, 28, 25, 22, 19, 16, 13]]",7
33,8,7,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 33),(0 32)(1 17)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 19)(18 21)(20 23)(22 25)(24 27)(26 29)(28 31)(30 33),"[[32, 29, 26, 23, 20, 17, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [19, 22, 25, 28, 31, 33, 30, 27, 24, 21, 18, 15]]",8
